slug,name_ja,area_slug,direct_reviews_checked,onsen_related_direct_reviews_checked,direct_body_platform_count,direct_body_platforms,google_status,google_visible_review_count,naver_status,data_quality_grade,grade_reason,service_data_status,metadata_issues,next_action
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,tokachigawa,380,300,8,Jalan | Google Maps | Ikkyu | Yahoo Travel | Hotels.com | Rakuten Travel | Booking.com | Trip.com,direct_readable,266,snippet_only,A,"A: 직접 380건, 온천 관련 300건, 직접 본문 플랫폼 8개; 300건 이상/3개 이상 충족",ready_for_service,Google partner/provider card 분리 필요; mirror 리뷰 중복 가능성; snippet_only 직접 수 제외 확인; OTA/AI 요약 직접 수 제외 확인,서비스 행 반영 가능
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,hokkaido-toyako,308,255,7,Rakuten Travel | Google Maps | Jalan | Yahoo Travel | Trip.com | Ikkyu | Hotels.com,direct_readable,1169,snippet_only,A,"A: 직접 308건, 온천 관련 255건, 직접 본문 플랫폼 7개; 300건 이상/3개 이상 충족",ready_for_service,Ikkyu/Yahoo 또는 OTA overlap 가능성; snippet_only 직접 수 제외 확인,서비스 행 반영 가능
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,noboribetsu,368,247,11,Jalan | Ikkyu | Yahoo Travel | Tripadvisor | Trip.com | Expedia | Google Maps/Hotels | Rakuten Travel | Booking.com | Relux | JTB,direct_readable_in_pool_summary_mismatch,750,snippet_only,A,"A: 직접 368건, 온천 관련 247건, 직접 본문 플랫폼 11개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,google summary field conflicts with pool row; operational signal_type extensions: cleanliness_maintenance; Ikkyu/Yahoo 또는 OTA overlap 가능성; snippet_only 직접 수 제외 확인; OTA/AI 요약 직접 수 제외 확인,Google/Naver/중복·운영신호 메타데이터 정리 후 반영
jozankei-suizantei,定山渓第一寶亭留 翠山亭,jozankei,313,199,9,Rakuten Travel | Google Maps | Jalan | Ikkyu | Yahoo Maps | Trip.com | Agoda | Booking.com via Agoda | Naver Blog,direct_readable,1375,snippet_only,A,"A: 직접 313건, 온천 관련 199건, 직접 본문 플랫폼 9개; 300건 이상/3개 이상 충족",ready_for_service,Google partner/provider card 분리 필요; Ikkyu/Yahoo 또는 OTA overlap 가능성; snippet_only 직접 수 제외 확인,서비스 행 반영 가능
yunokawa-nagisatei,湯の川プリンスホテル渚亭,yunokawa-hakodate,333,251,7,Rakuten Travel | Google Hotels | JTB | Yahoo Travel | Trip.com | Booking.com | Naver Blog,direct_readable,"1,746",direct_readable,A,"A: 직접 333건, 온천 관련 251건, 직접 본문 플랫폼 7개; 300건 이상/3개 이상 충족",ready_for_service,Google partner/provider card 분리 필요; Google/숙소 정체성 혼재 주의; snippet_only 직접 수 제외 확인,서비스 행 반영 가능
noboribetsu-daiichi-takimotokan,第一滝本館,noboribetsu,300,189,8,Rakuten Travel | Google Maps/Hotels | Yahoo Travel | Ikkyu | JTB/Rurubu | Jalan | Booking.com | Naver,direct_readable,"6,227",direct_readable,A,"A: 직접 300건, 온천 관련 189건, 직접 본문 플랫폼 8개; 300건 이상/3개 이상 충족",ready_for_service,Google partner/provider card 분리 필요; Google/숙소 정체성 혼재 주의; snippet_only 직접 수 제외 확인,서비스 행 반영 가능
noboribetsu-mahoroba,ホテルまほろば,noboribetsu,330,216,8,Rakuten Travel | Google Maps | Yahoo Travel | Booking.com | Ikkyu | Trip.com | Hotels.com | Tripadvisor,direct_readable,"4,680",not_recorded,A,"A: 직접 330건, 온천 관련 216건, 직접 본문 플랫폼 8개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,naver status not recorded,Google/Naver/중복·운영신호 메타데이터 정리 후 반영
noboribetsu-grand,祝いの宿 登別グランドホテル,noboribetsu,324,200,8,Rakuten Travel | Booking.com | Yahoo Travel | Ikkyu | Trip.com | Tripadvisor | Hotelpass Korean review | Google Maps,direct_readable,"2,751",not_recorded,A,"A: 직접 324건, 온천 관련 200건, 직접 본문 플랫폼 8개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,naver status not recorded; Google partner/provider card 분리 필요,Google/Naver/중복·운영신호 메타데이터 정리 후 반영
noboribetsu-manseikaku,登別万世閣,noboribetsu,351,228,7,Rakuten Travel | Google Maps | Booking.com | Yahoo Travel | Jalan | Trip.com | Naver Blog,aside_review_tab_read_mixed_origin,"2,775",direct_readable,A,"A: 직접 351건, 온천 관련 228건, 직접 본문 플랫폼 7개; 300건 이상/3개 이상 충족",ready_for_service,Google/숙소 정체성 혼재 주의; snippet_only 직접 수 제외 확인,서비스 행 반영 가능
noboribetsu-takinoya,登別温泉郷 滝乃家,noboribetsu,312,184,4,Jalan | Rakuten Travel | Google Maps/Hotels | Ikkyu,direct_readable_in_pool_summary_mismatch,730,not_recorded,A,"A: 직접 312건, 온천 관련 184건, 직접 본문 플랫폼 4개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,google summary field conflicts with pool row; naver status not recorded; operational signal_type extensions: insects; Google partner/provider card 분리 필요,Google/Naver/중복·운영신호 메타데이터 정리 후 반영
noboribetsu-hanayura,旅亭 花ゆら,noboribetsu,306,211,8,Jalan | Rakuten Travel | Google Maps/Hotels | Ikkyu | JTB | Relux | Yahoo Maps | Tripadvisor,direct_readable_in_pool_summary_mismatch,657,not_recorded,A,"A: 직접 306건, 온천 관련 211건, 직접 본문 플랫폼 8개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,"google summary field conflicts with pool row; naver status not recorded; operational signal_type extensions: insects,temperature_control; Google partner/provider card 분리 필요; mirror 리뷰 중복 가능성",Google/Naver/중복·운영신호 메타데이터 정리 후 반영
jozankei-chalet-ivy,シャレーアイビー定山渓,jozankei,312,103,12,Rakuten Travel | Ikkyu | Yahoo Travel | Booking.com | Trip.com | Expedia | Hotels.com | Jalan archive | JTB | Google Maps/Hotels | Tripadvisor | Relux,direct_readable_in_pool_summary_mismatch,125,snippet_only,A,"A: 직접 312건, 온천 관련 103건, 직접 본문 플랫폼 12개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,google summary field conflicts with pool row; operational signal_type extensions: privacy_or_glass_bath; Google partner/provider card 분리 필요; Ikkyu/Yahoo 또는 OTA overlap 가능성; snippet_only 직접 수 제외 확인,Google/Naver/중복·운영신호 메타데이터 정리 후 반영
jozankei-grand-blissen,グランドブリッセンホテル定山渓,jozankei,305,216,3,Jalan | Rakuten Travel | Ikkyu/Yahoo Travel,not_checked_this_pass,,not_recorded,A,"A: 직접 305건, 온천 관련 216건, 직접 본문 플랫폼 3개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,google status incomplete; naver status not recorded,Google/Naver/중복·운영신호 메타데이터 정리 후 반영
yunokawa-heiseikan-hanatsuki,平成館 しおさい亭 別館 花月,yunokawa-hakodate,300,246,6,Jalan | Rakuten Travel | Booking.com | Trip.com | Ikkyu | Yahoo Travel,checked_but_not_counted_name_surface_mixed,,not_recorded,A,"A: 직접 300건, 온천 관련 246건, 직접 본문 플랫폼 6개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,"naver status not recorded; operational signal_type extensions: aged_facility,temperature_control; Ikkyu/Yahoo 또는 OTA overlap 가능성; Google/숙소 정체성 혼재 주의; OTA/AI 요약 직접 수 제외 확인",Google/Naver/중복·운영신호 메타데이터 정리 후 반영
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,yunokawa-hakodate,318,199,6,Rakuten Travel | Google Maps | Jalan | Yahoo Travel | Booking.com | Trip.com,aside_review_tab_read_mixed_identity_risk,1627,snippet_only,A,"A: 직접 318건, 온천 관련 199건, 직접 본문 플랫폼 6개; 300건 이상/3개 이상 충족",ready_for_service,Google/숙소 정체성 혼재 주의; snippet_only 직접 수 제외 확인; OTA/AI 요약 직접 수 제외 확인,서비스 행 반영 가능
yunokawa-hanabishi,函館・湯の川温泉 花びしホテル,yunokawa-hakodate,310,168,3,Jalan | Rakuten Travel | Ikkyu,not_checked_this_pass,,not_recorded,A,"A: 직접 310건, 온천 관련 168건, 직접 본문 플랫폼 3개; 300건 이상/3개 이상 충족",needs_metadata_cleanup,google status incomplete; naver status not recorded,Google/Naver/중복·운영신호 메타데이터 정리 후 반영
